Ê±¼ä(s),ÎÂ¶È(?C)
19,30.43
19.5,30.45
20,31.45
20.5,31.84
21,32.35
21.5,32.89
22,33.55
22.5,33.95
23,34.63
23.5,37.75
24,39.69
24.5,36.35
25,40.04
25.5,39.75
26,41.58
26.5,42.09
27,45.69
27.5,45.39
28,45.39
28.5,45.23
29,47.68
29.5,45.94
30,46.95
30.5,47.96
31,48.86
31.5,50.65
32,50.75
32.5,51.71
33,52.69
33.5,53.49
34,53.76
34.5,55.68
35,52.79
35.5,55.56
36,56.73
36.5,57.38
37,58.59
37.5,59.61
38,63.74
38.5,61.67
39,62.7
39.5,62.73
40,65.75
40.5,64.77
41,68.79
41.5,65.8
42,66.81
42.5,70.81
43,71.81
43.5,73.8
44,74.76
44.5,75.77
45,76.75
45.5,72.71
46,78.67
46.5,79.83
47,76.57
47.5,80.51
48,82.44
48.5,83.37
49,83.28
49.5,85.19
50,86.09
50.5,86.99
51,87.87
51.5,88.75
52,85.62
52.5,86.48
53,90.34
53.5,91.68
54,91.92
54.5,91.05
55,93.68
55.5,93.49
56,91.3
56.5,98.1
57,95.89
57.5,99.68
58,97.96
58.5,95.23
59,94.99
59.5,97.75
60,100.5
60.5,103.24
61,103.97
61.5,103.7
62,103.42
62.5,105.13
63,106.84
63.5,107.57
64,109.23
64.5,110.98
65,109.59
65.5,110.26
66,109.93
66.5,109.99
67,116.64
67.5,114.83
68,111.52
68.5,113.16
69,115.79
69.5,115.61
70,115.02
70.5,113.63
71,118.23
71.5,117.93
72,118.42
72.5,119
73,119.58
73.5,120.85
74,120.92
74.5,120.98
75,120.74
75.5,121.99
76,124.13
76.5,127.47
77,126.01
77.5,126.54
78,124.06
78.5,125.58
79,127.09
79.5,126.6
80,127.1
80.5,128.6
81,127.09
81.5,128.58
82,129.06
82.5,129.54
83,125.02
83.5,123.77
84,128.95
84.5,129.41
85,129.86
85.5,131.31
86,132.76
86.5,131.2
87,134.64
87.5,130.07
88,131.5
88.5,134.83
89,135.35
89.5,136.76
90,137.17
90.5,137.58
91,137.98
91.5,134.38
92,134.78
92.5,135.17
93,135.56
93.5,135.94
94,138.32
94.5,138.7
95,139.07
95.5,139.44
96,137.8
96.5,141.16
97,141.52
97.5,142.88
98,141.23
98.5,143.57
99,143.92
99.5,142.26
100,142.59
100.5,142.93
101,143.26
101.5,143.59
102,143.91
102.5,144.23
103,144.55
103.5,144.86
104,145.17
104.5,144.48
105,144.78
105.5,145.09
106,145.38
106.5,145.68
107,145.97
107.5,147.26
108,148.55
108.5,148.83
109,149.11
109.5,149.39
110,149.67
110.5,149.94
111,150.21
111.5,150.48
112,150.74
112.5,149
113,149.26
113.5,149.52
114,149.78
114.5,150.03
115,150.28
115.5,150.52
116,150.77
116.5,153.01
117,153.25
117.5,153.49
118,153.72
118.5,153.95
119,154.18
119.5,154.41
120,154.64
120.5,154.86
121,155.08
121.5,153.3
122,153.52
122.5,153.73
123,153.94
123.5,152.15
124,153.36
124.5,153.57
125,153.77
125.5,153.97
126,157.17
126.5,158.37
127,155.57
127.5,155.76
128,155.95
128.5,156.14
129,156.33
129.5,156.52
130,156.7
130.5,156.88
131,157.07
131.5,157.24
132,157.42
132.5,157.6
133,157.77
133.5,157.94
134,158.11
134.5,158.28
135,158.45
135.5,158.61
136,158.78
136.5,158.94
137,159.1
137.5,159.26
138,159.42
138.5,159.57
139,159.73
139.5,159.88
140,160.03
140.5,160.18
141,160.33
141.5,160.47
142,160.62
142.5,160.76
143,160.9
143.5,161.04
144,161.18
